Message ID, Frequency, Interval (seconds)
PowerAuxError_MESSAGE_ID,0,0
MotorControllerError_MESSAGE_ID,0,0
MotorControllerError_AUX_BUS_MESSAGE_ID,0,0
BPSError_MESSAGE_ID,0,0
ECUMotorCommands_MESSAGE_ID,10,0.1
MotorControllerDriveStatus_MESSAGE_ID,10,0.1
MotorControllerDriveStatus_AUX_BUS_MESSAGE_ID,10,0.1
SolarCurrent_MESSAGE_ID,1,1
SolarTemp_MESSAGE_ID,1,1
SolarVoltage_MESSAGE_ID,1,1
SolarPhoto_MESSAGE_ID,1,1
BPSPackInformation_MESSAGE_ID,1,1
BPSCellVoltage_MESSAGE_ID,1,1
BPSCellTemperature_MESSAGE_ID,1,1
MotorControllerPowerStatus_MESSAGE_ID,0.5,2
MotorControllerPowerStatus_AUX_BUS_MESSAGE_ID,0.5,2
ECUPowerAuxCommands_MESSAGE_ID,0.5,2
