--- Terminal on /dev/cu.usbmodem141303 | 921600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
00:12:40 INFO /root/Rivanna2/Common/include/ECUCANStructs.h:23: ECUMotorCommands: throttle 0, regen 255, cruise_control_speed 0, cruise_control_en 0, forward_en 0, reverse_en 0, motor_on 0
