LOGGING: Throttle: 22, RPM: 0
LOGGING: Throttle: 24, RPM: 0
LOGGING: Throttle: 26, RPM: 0
LOGGING: Throttle: 28, RPM: 0
LOGGING: Throttle: 30, RPM: 0
LOGGING: Throttle: 32, RPM: 0
LOGGING: Throttle: 34, RPM: 824
LOGGING: Throttle: 36, RPM: 928
LOGGING: Throttle: 38, RPM: 939
LOGGING: Throttle: 40, RPM: 939
LOGGING: Throttle: 42, RPM: 941
LOGGING: Throttle: 44, RPM: 945
LOGGING: Throttle: 46, RPM: 946
LOGGING: Throttle: 48, RPM: 946
LOGGING: Throttle: 50, RPM: 951
LOGGING: Throttle: 52, RPM: 954
LOGGING: Throttle: 54, RPM: 957
LOGGING: Throttle: 56, RPM: 955
LOGGING: Throttle: 58, RPM: 955
LOGGING: Throttle: 60, RPM: 958
LOGGING: Throttle: 62, RPM: 955
LOGGING: Throttle: 64, RPM: 955
LOGGING: Throttle: 66, RPM: 957
LOGGING: Throttle: 68, RPM: 957
LOGGING: Throttle: 70, RPM: 955
LOGGING: Throttle: 72, RPM: 957
LOGGING: Throttle: 74, RPM: 954
LOGGING: Throttle: 76, RPM: 954
LOGGING: Throttle: 78, RPM: 957
LOGGING: Throttle: 80, RPM: 955
LOGGING: Throttle: 82, RPM: 960
LOGGING: Throttle: 84, RPM: 960
LOGGING: Throttle: 86, RPM: 960
LOGGING: Throttle: 88, RPM: 958
LOGGING: Throttle: 90, RPM: 958
LOGGING: Throttle: 92, RPM: 958
LOGGING: Throttle: 94, RPM: 955
LOGGING: Throttle: 96, RPM: 955
LOGGING: Throttle: 98, RPM: 958
LOGGING: Throttle: 100, RPM: 954
LOGGING: Throttle: 102, RPM: 955
LOGGING: Throttle: 104, RPM: 954
LOGGING: Throttle: 106, RPM: 954
LOGGING: Throttle: 108, RPM: 955
LOGGING: Throttle: 110, RPM: 957
LOGGING: Throttle: 112, RPM: 960
LOGGING: Throttle: 114, RPM: 958
LOGGING: Throttle: 116, RPM: 957
LOGGING: Throttle: 118, RPM: 958
LOGGING: Throttle: 120, RPM: 958
LOGGING: Throttle: 122, RPM: 958
LOGGING: Throttle: 124, RPM: 958
LOGGING: Throttle: 126, RPM: 960
LOGGING: Throttle: 128, RPM: 958
LOGGING: Throttle: 130, RPM: 960
LOGGING: Throttle: 132, RPM: 958
LOGGING: Throttle: 134, RPM: 955
LOGGING: Throttle: 136, RPM: 957
LOGGING: Throttle: 138, RPM: 958
LOGGING: Throttle: 140, RPM: 948
LOGGING: Throttle: 142, RPM: 955
LOGGING: Throttle: 144, RPM: 957
LOGGING: Throttle: 146, RPM: 958
LOGGING: Throttle: 148, RPM: 958
LOGGING: Throttle: 150, RPM: 958
LOGGING: Throttle: 152, RPM: 958
LOGGING: Throttle: 154, RPM: 957
LOGGING: Throttle: 156, RPM: 957
LOGGING: Throttle: 158, RPM: 957
LOGGING: Throttle: 160, RPM: 957
LOGGING: Throttle: 162, RPM: 957
LOGGING: Throttle: 164, RPM: 957
LOGGING: Throttle: 166, RPM: 957
LOGGING: Throttle: 168, RPM: 955
LOGGING: Throttle: 170, RPM: 954
LOGGING: Throttle: 172, RPM: 955
LOGGING: Throttle: 174, RPM: 955
LOGGING: Throttle: 176, RPM: 958
LOGGING: Throttle: 178, RPM: 957
LOGGING: Throttle: 180, RPM: 957
LOGGING: Throttle: 182, RPM: 957
LOGGING: Throttle: 184, RPM: 957
LOGGING: Throttle: 186, RPM: 957
LOGGING: Throttle: 188, RPM: 957
LOGGING: Throttle: 190, RPM: 960
LOGGING: Throttle: 192, RPM: 958
LOGGING: Throttle: 194, RPM: 958
LOGGING: Throttle: 196, RPM: 958
LOGGING: Throttle: 198, RPM: 958
LOGGING: Throttle: 200, RPM: 955
LOGGING: Throttle: 202, RPM: 955
LOGGING: Throttle: 204, RPM: 957
LOGGING: Throttle: 206, RPM: 958
LOGGING: Throttle: 208, RPM: 955
LOGGING: Throttle: 210, RPM: 955
LOGGING: Throttle: 212, RPM: 955
LOGGING: Throttle: 214, RPM: 954
LOGGING: Throttle: 216, RPM: 957
LOGGING: Throttle: 218, RPM: 960
LOGGING: Throttle: 220, RPM: 960
LOGGING: Throttle: 222, RPM: 958
LOGGING: Throttle: 224, RPM: 958
LOGGING: Throttle: 226, RPM: 957
LOGGING: Throttle: 228, RPM: 957
LOGGING: Throttle: 230, RPM: 955
LOGGING: Throttle: 232, RPM: 955
LOGGING: Throttle: 234, RPM: 960
LOGGING: Throttle: 236, RPM: 958
LOGGING: Throttle: 238, RPM: 958
LOGGING: Throttle: 240, RPM: 958
LOGGING: Throttle: 242, RPM: 958
LOGGING: Throttle: 244, RPM: 957
LOGGING: Throttle: 246, RPM: 957
LOGGING: Throttle: 248, RPM: 957
LOGGING: Throttle: 250, RPM: 955
LOGGING: Throttle: 252, RPM: 955
LOGGING: Throttle: 254, RPM: 957
